sector,camera,ccd,target_ra,target_dec,target_name,enabled
20,1,1,120.43428771450384,45.293527709356525,fullchip,False
20,1,2,102.47514373892413,47.275211115613494,fullchip,True
20,1,3,101.28345626258893,34.57287646126973,fullchip,True
20,1,4,116.2603491671684,32.959306178234804,fullchip,True
20,2,1,138.0927861297209,67.18348471826066,fullchip,True
20,2,2,104.05484300764859,71.14007024063774,fullchip,True
20,2,3,102.59851880554457,58.39910674571685,fullchip,True
20,2,4,125.36638250650766,55.90510191553536,fullchip,True
20,3,1,103.27251228831969,82.29039410717067,fullchip,True
20,3,2,162.666801556501,75.4046191259399,fullchip,True
20,3,3,216.75435664364667,76.39206556255492,fullchip,False
20,3,4,283.8808400050275,84.97767926085541,fullchip,True
20,4,1,286.06393886861775,73.83537690754194,fullchip,True
20,4,2,247.6179482871682,69.5792340206648,fullchip,True
20,4,3,261.6674185854547,58.32103267895498,fullchip,True
20,4,4,286.03923524684126,61.0776347025397,fullchip,True
